Altium Designer Pick and Place Locations
D:\pcb d\dawgg\Project Outputs for dawgg\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       31-03-26
Time:       16:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","LCSC Part"
"U8","LSM6DS3","TopLayer","PQFN50P300X250X86-14N","46.8630mm","34.9250mm","90","LSM6DS3TR-C"
"U5","MAX98357AETE+T","TopLayer","QFN50P300X300X80-17N","17.9816mm","73.8874mm","180","C910544"
"C27","10TPC100M","TopLayer","FP-POSCAP-D2-MFG","46.0248mm","47.2694mm","90","C7222"
"C26","10TPC100M","TopLayer","FP-POSCAP-D2-MFG","55.2704mm","58.0390mm","0","C7222"
"SW2","2-1977223-2","TopLayer","FP-2-1977223-2-MFG","57.2508mm","13.0556mm","90","C557615"
"SW1","2-1977223-2","TopLayer","FP-2-1977223-2-MFG","57.2000mm","20.1422mm","90","C557615"
"Q1","FS8205A","TopLayer","SOP65P640X120-8N","74.0664mm","67.5640mm","180","C5148694"
"U6","DRV8833PWPR","TopLayer","FP-PWP0016C-IPC_B","65.9384mm","47.2440mm","90","C50506"
"U3","AP2114HA-3.3TRG1","TopLayer","SOT-223_DIO","55.9054mm","47.4980mm","180","C460314"
"P5","Header 4","TopLayer","HDR1X4","53.5178mm","2.1336mm","0","C42431787"
"P4","Header 4","TopLayer","HDR1X4","48.5394mm","80.5688mm","180","C42431787"
"C17","08053C225K4Z2A","TopLayer","FP-0805-L_2_01_0_2-W_1_25-MFG","62.2554mm","53.7210mm","90","C377773"
"C13","CAP 10nF 50V 0805(2012)","TopLayer","CAPC0805(2012)145_N","68.9796mm","53.3360mm","0","C377773"
"P6","Header 2","TopLayer","HDR1X2","61.8490mm","80.1878mm","180","C32713268"
"P1","Header 2","TopLayer","HDR1X2","13.8430mm","78.2828mm","0","C32713268"
"P3","Header 2H","TopLayer","HDR1X2H","6.4008mm","62.4332mm","270","C32713261"
